menu_id,r_id,f_id,price
mn207012,253531,fd669322,60
mn207089,504350,fd0,130
mn207089,504350,fd669322,130
mn212339,382302,fd0,50
mn212339,382302,fd669322,50
mn212532,489818,fd0,50
mn212532,489818,fd669322,50
mn213298,487880,fd0,50
mn213298,487880,fd669322,50
mn213547,480794,fd0,100
mn213547,480794,fd669322,100
mn215672,546367,fd0,139
mn215672,546367,fd669322,139
mn217099,243905,fd0,95
mn217099,243905,fd669322,95
mn217234,243905,fd0,95
mn217234,243905,fd669322,95
mn218180,327379,fd0,112
mn218180,327379,fd669322,112
mn218272,327379,fd0,80
mn218272,327379,fd669322,80
mn218298,509078,fd0,90
mn218298,509078,fd669322,90
mn222567,226063,fd0,90
mn222567,226063,fd669322,90
mn224454,521333,fd0,109
mn224454,521333,fd669322,109
mn226727,312138,fd0,50
mn226727,312138,fd669322,50
mn228479,327743,fd0,140
mn228479,327743,fd669322,140
mn229871,531428,fd0,89
mn229871,531428,fd669322,89
mn233427,549054,fd0,50
mn233427,549054,fd669322,50
mn234956,517276,fd0,70
mn234956,517276,fd669322,70
mn243223,437843,fd0,120
mn243223,437843,fd669322,120
mn243613,516375,fd0,130
mn243613,516375,fd669322,130
mn245968,469643,fd0,70
mn245968,469643,fd669322,70
mn246488,494953,fd0,60
mn246488,494953,fd669322,60
mn247171,504837,fd0,50
mn247171,504837,fd669322,50
mn250905,160865,fd0,100
mn250905,160865,fd669322,100
mn252149,549782,fd0,95
mn252149,549782,fd669322,95
mn252758,386064,fd0,89
mn252758,386064,fd669322,89
mn255051,305773,fd0,150
mn255051,305773,fd669322,150
mn258673,561832,fd0,60
mn258673,561832,fd669322,60
mn258910,298380,fd0,75
mn258910,298380,fd669322,75
mn261014,114140,fd0,50
mn261014,114140,fd669322,50
mn261487,370443,fd0,85
mn261487,370443,fd669322,85
mn262176,57728,fd0,89
mn262176,57728,fd669322,89
mn263868,562178,fd0,50
mn263868,562178,fd669322,50
mn264528,576463,fd0,75
mn264528,576463,fd669322,75
mn264802,130203,fd0,100
mn264802,130203,fd669322,100
mn265966,507430,fd0,70
mn265966,507430,fd669322,70
mn267965,95225,fd0,80
mn267965,95225,fd669322,80
mn268148,95225,fd0,80
mn268148,95225,fd669322,80
mn268254,45169,fd0,91
mn268254,45169,fd669322,91
mn271920,499909,fd0,100
mn271920,499909,fd669322,100
mn271975,499909,fd0,100
mn271975,499909,fd669322,100
mn272450,84142,fd0,60
mn272450,84142,fd669322,60
mn281713,528110,fd0,110
mn281713,528110,fd669322,110
mn287628,396716,fd0,45
mn287628,396716,fd669322,45
mn288604,477495,fd0,55
mn288604,477495,fd669322,55
mn289793,552051,fd0,40
mn289793,552051,fd669322,40
mn289816,552051,fd0,165
mn289816,552051,fd669322,165
mn295709,204046,fd0,35
mn295709,204046,fd669322,35
mn301860,548306,fd0,119
mn301860,548306,fd669322,119
mn303019,488027,fd0,120
mn303019,488027,fd669322,120
mn308161,538559,fd0,64
mn308161,538559,fd669322,64
mn309498,330980,fd0,100
mn309498,330980,fd669322,100
mn313572,568680,fd0,79
mn313572,568680,fd669322,79
mn313631,378352,fd0,55
mn313631,378352,fd669322,55
mn319139,54309,fd0,225
mn319139,54309,fd669322,225
mn322678,561902,fd0,99
mn322678,561902,fd669322,99
mn325778,452204,fd0,80
mn325778,452204,fd669322,80
mn330504,363706,fd0,120
mn330504,363706,fd669322,120
mn334309,291769,fd0,65
mn334309,291769,fd669322,65
mn335658,36668,fd0,100
mn335658,36668,fd669322,100
mn335703,36668,fd0,100
mn335703,36668,fd669322,100
mn340536,38003,fd0,75
mn340536,38003,fd669322,75
mn343572,363690,fd0,120
mn343572,363690,fd669322,120
mn344506,436503,fd0,130.8
mn344506,436503,fd669322,130.8
mn347628,408241,fd0,60
mn347628,408241,fd669322,60
mn350851,196826,fd0,90
mn350851,196826,fd669322,90
mn350950,196826,fd0,90
mn350950,196826,fd669322,90
mn353435,432310,fd0,90
mn353435,432310,fd669322,90
mn353457,432310,fd0,90
mn353457,432310,fd669322,90
mn356542,524490,fd0,90
mn356542,524490,fd669322,90
mn358509,73391,fd0,120
mn358509,73391,fd669322,120
mn361207,563070,fd0,100
mn361207,563070,fd669322,100
mn368052,505186,fd0,60
mn368052,505186,fd669322,60
mn369499,448330,fd0,75
mn369499,448330,fd669322,75
mn373562,479178,fd0,49
mn373562,479178,fd669322,49
mn373669,515331,fd0,65
mn373669,515331,fd669322,65
mn375127,461866,fd0,125
mn375127,461866,fd669322,125
mn378995,579052,fd0,100
mn378995,579052,fd669322,100
mn380809,550852,fd0,65
mn380809,550852,fd669322,65
mn385056,491646,fd0,122
mn385056,491646,fd669322,122
mn405711,297810,fd0,70
mn405711,297810,fd669322,70
mn412397,297918,fd0,70
mn412397,297918,fd669322,70
mn415278,152428,fd0,59
mn415278,152428,fd669322,59
mn415349,152428,fd0,59
mn415349,152428,fd669322,59
mn415825,146417,fd0,70
mn415825,146417,fd669322,70
mn415857,146417,fd0,70
mn415857,146417,fd669322,70
mn416966,107409,fd0,66
mn416966,107409,fd669322,66
mn417434,557545,fd0,60
mn417434,557545,fd669322,60
mn417638,517322,fd0,100
mn417638,517322,fd669322,100
mn418157,508327,fd0,80
mn418157,508327,fd669322,80
mn418327,518581,fd0,55
mn418327,518581,fd669322,55
mn418898,496896,fd0,60
mn418898,496896,fd669322,60
mn419588,124631,fd0,60
mn419588,124631,fd669322,60
mn419773,198751,fd0,60
mn419773,198751,fd669322,60
mn420406,563622,fd0,60
mn420406,563622,fd669322,60
mn424949,127969,fd0,80
mn424949,127969,fd669322,80
mn425563,115257,fd0,125
mn425563,115257,fd669322,125
mn430668,495006,fd0,50
mn430668,495006,fd669322,50
mn434803,228460,fd0,50
mn434803,228460,fd669322,50
mn434814,125822,fd0,40
mn434814,125822,fd669322,40
mn434825,125822,fd0,40
mn434825,125822,fd669322,40
mn435306,562378,fd0,70
mn435306,562378,fd669322,70
mn437099,500936,fd0,60
mn437099,500936,fd669322,60
mn438325,563159,fd0,97
mn438325,563159,fd669322,97
mn442047,332304,fd0,90
mn442047,332304,fd669322,90
mn442920,435458,fd0,80
mn442920,435458,fd669322,80
mn458126,248400,fd0,69
mn458126,248400,fd669322,69
mn461012,104173,fd0,60
mn461012,104173,fd669322,60
mn461133,104173,fd0,60
mn461133,104173,fd669322,60
mn465122,259118,fd0,70
mn465122,259118,fd669322,70
mn467836,518543,fd0,39
mn467836,518543,fd669322,39
mn468498,420165,fd0,89
mn468498,420165,fd669322,89
mn473713,552505,fd0,75
mn473713,552505,fd669322,75
mn473960,104243,fd0,50
mn473960,104243,fd669322,50
mn473986,104243,fd0,50
mn473986,104243,fd669322,50
mn474047,576928,fd0,59
mn474047,576928,fd669322,59
mn474565,390295,fd0,70
mn474565,390295,fd669322,70
mn474826,563124,fd0,50
mn474826,563124,fd669322,50
mn475353,458122,fd0,70
mn475353,458122,fd669322,70
mn475923,424381,fd0,69
mn475923,424381,fd669322,69
mn476994,570242,fd0,39
mn476994,570242,fd669322,39
mn477239,422611,fd0,39
mn477239,422611,fd669322,39
mn477248,565714,fd0,60
mn477248,565714,fd669322,60
mn479601,504716,fd0,102.4
mn479601,504716,fd669322,102.4
mn482282,80413,fd0,69
mn482282,80413,fd669322,69
mn484585,343555,fd0,59
mn484585,343555,fd669322,59
mn484715,531144,fd0,59
mn484715,531144,fd669322,59
mn485257,345424,fd0,90
mn485257,345424,fd669322,90
mn487772,80461,fd0,160
mn487772,80461,fd669322,160
mn488655,550507,fd0,225
mn488655,550507,fd669322,225
mn494008,425017,fd0,97.46
mn494008,425017,fd669322,97.46
mn496136,564075,fd0,79
mn496136,564075,fd669322,79
mn496269,309969,fd0,59
mn496269,309969,fd669322,59
mn496424,309969,fd0,59
mn496424,309969,fd669322,59
mn496526,394363,fd0,60
mn496526,394363,fd669322,60
mn501107,564074,fd0,69
mn501107,564074,fd669322,69
mn501215,564073,fd0,79
mn501215,564073,fd669322,79
mn502019,310035,fd0,60
mn502019,310035,fd669322,60
mn502194,310035,fd0,60
mn502194,310035,fd669322,60
mn504570,464748,fd0,68
mn504570,464748,fd669322,68
mn505066,273369,fd0,100
mn505066,273369,fd669322,100
mn506888,550722,fd0,70
mn506888,550722,fd669322,70
mn507064,153693,fd0,45
mn507064,153693,fd669322,45
mn507495,447438,fd0,45
mn507495,447438,fd669322,45
mn507767,461587,fd0,69
mn507767,461587,fd669322,69
mn508187,495094,fd0,45
mn508187,495094,fd669322,45
mn508383,129515,fd0,50
mn508383,129515,fd669322,50
mn510468,482325,fd0,40
mn510468,482325,fd669322,40
mn510483,482325,fd0,40
mn510483,482325,fd669322,40
mn512229,292230,fd0,59
mn512229,292230,fd669322,59
mn512269,292230,fd0,59
mn512269,292230,fd669322,59
mn512552,548648,fd0,60
mn512552,548648,fd669322,60
mn512935,461741,fd0,69
mn512935,461741,fd669322,69
mn512994,314904,fd0,80
mn512994,314904,fd669322,80
mn513450,455307,fd0,50
mn513450,455307,fd669322,50
mn514135,559578,fd0,70
mn514135,559578,fd669322,70
mn514585,530741,fd0,50
mn514585,530741,fd669322,50
mn517395,461930,fd0,30
mn517395,461930,fd669322,30
mn518452,412896,fd0,60
mn518452,412896,fd669322,60
mn518529,473306,fd0,80
mn518529,473306,fd669322,80
mn520081,381360,fd0,50
mn520081,381360,fd669322,50
mn520349,389661,fd0,60
mn520349,389661,fd669322,60
mn522630,159543,fd0,80
mn522630,159543,fd669322,80
mn522750,550638,fd0,50
mn522750,550638,fd669322,50
mn525932,184948,fd0,70
mn525932,184948,fd669322,70
mn526735,383012,fd0,70
mn526735,383012,fd669322,70
mn527341,494642,fd0,55
mn527341,494642,fd669322,55
mn529888,511294,fd0,60
mn529888,511294,fd669322,60
mn530436,530431,fd0,129
mn530436,530431,fd669322,129
mn530495,530447,fd0,129
mn530495,530447,fd669322,129
mn530625,357862,fd0,118
mn530625,357862,fd669322,118
mn530790,463240,fd0,129
mn530790,463240,fd669322,129
mn530834,463800,fd0,129
mn530834,463800,fd669322,129
mn530873,532730,fd0,160
mn530873,532730,fd669322,160
mn530927,532745,fd0,160
mn530927,532745,fd669322,160
mn530986,532722,fd0,160
mn530986,532722,fd669322,160
mn531680,106308,fd0,55
mn531680,106308,fd669322,55
mn531770,106308,fd0,55
mn531770,106308,fd669322,55
mn532053,105692,fd0,75
mn532053,105692,fd669322,75
mn532082,105692,fd0,75
mn532082,105692,fd669322,75
mn533518,105743,fd0,65
mn533518,105743,fd669322,65
mn533957,348259,fd0,53
mn533957,348259,fd669322,53
mn534672,548509,fd0,55
mn534672,548509,fd669322,55
mn537513,457427,fd0,80
mn537513,457427,fd669322,80
mn537942,105719,fd0,50
mn537942,105719,fd669322,50
mn538719,107018,fd0,80
mn538719,107018,fd669322,80
mn538766,415402,fd0,30
mn538766,415402,fd669322,30
mn538858,458217,fd0,80
mn538858,458217,fd669322,80
mn539123,343984,fd0,30
mn539123,343984,fd669322,30
mn539177,343984,fd0,30
mn539177,343984,fd669322,30
mn539284,457153,fd0,80
mn539284,457153,fd669322,80
mn539332,538084,fd0,60
mn539332,538084,fd669322,60
mn540916,226437,fd0,69
mn540916,226437,fd669322,69
mn540965,226437,fd0,69
mn540965,226437,fd669322,69
mn544182,440019,fd0,100
mn544182,440019,fd669322,100
mn546139,183984,fd0,80
mn546139,183984,fd669322,80
mn546715,518002,fd0,80
mn546715,518002,fd669322,80
mn548802,495186,fd0,69
mn548802,495186,fd669322,69
mn560493,111291,fd0,100
mn560493,111291,fd669322,100
mn561053,425778,fd0,69
mn561053,425778,fd669322,69
mn566247,579071,fd0,80
mn566247,579071,fd669322,80
mn566335,303964,fd0,90
mn566335,303964,fd669322,90
mn568450,110868,fd0,90
mn568450,110868,fd669322,90
mn568872,478852,fd0,159
mn568872,478852,fd669322,159
mn571151,109874,fd0,80
mn571151,109874,fd669322,80
mn583702,390370,fd0,60
mn583702,390370,fd669322,60
mn586200,259526,fd0,70
mn586200,259526,fd669322,70
mn586246,259526,fd0,70
mn586246,259526,fd669322,70
mn587087,112866,fd0,30
mn587087,112866,fd669322,30
mn587117,112866,fd0,30
mn587117,112866,fd669322,30
mn588860,84681,fd0,65
mn588860,84681,fd669322,65
mn588901,84681,fd0,65
mn588901,84681,fd669322,65
mn590405,570672,fd0,65
mn590405,570672,fd669322,65
mn590874,101027,fd0,80
mn590874,101027,fd669322,80
mn590899,101027,fd0,80
mn590899,101027,fd669322,80
mn594283,521163,fd0,49
mn594283,521163,fd669322,49
mn594925,512682,fd0,49
mn594925,512682,fd669322,49
mn595179,512323,fd0,49
mn595179,512323,fd669322,49
mn595530,260333,fd0,110
mn595530,260333,fd669322,110
mn598122,551156,fd0,49
mn598122,551156,fd669322,49
mn598258,578534,fd0,60
mn598258,578534,fd669322,60
mn600254,512310,fd0,49
mn600254,512310,fd669322,49
mn600396,512320,fd0,49
mn600396,512320,fd669322,49
mn601051,458735,fd0,70
mn601051,458735,fd669322,70
mn601891,553458,fd0,70
mn601891,553458,fd669322,70
mn601924,553451,fd0,70
mn601924,553451,fd669322,70
mn603053,553455,fd0,70
mn603053,553455,fd669322,70
mn604352,260427,fd0,55
mn604352,260427,fd669322,55
mn604419,260427,fd0,55
mn604419,260427,fd669322,55
mn606674,522234,fd0,30
mn606674,522234,fd669322,30
mn612965,432267,fd0,65
mn612965,432267,fd669322,65
mn615266,482506,fd0,49
mn615266,482506,fd669322,49
mn616086,549815,fd0,49
mn616086,549815,fd669322,49
mn617249,530904,fd0,49
mn617249,530904,fd669322,49
mn617299,489531,fd0,50
mn617299,489531,fd669322,50
mn617456,548631,fd0,49
mn617456,548631,fd669322,49
mn617642,527921,fd0,49
mn617642,527921,fd669322,49
mn618484,492093,fd0,59
mn618484,492093,fd669322,59
mn618547,555338,fd0,49
mn618547,555338,fd669322,49
mn619322,473557,fd0,86.25
mn619322,473557,fd669322,86.25
mn619618,539681,fd0,49
mn619618,539681,fd669322,49
mn619667,540917,fd0,59
mn619667,540917,fd669322,59
mn619797,526174,fd0,59
mn619797,526174,fd669322,59
mn621312,561462,fd0,79
mn621312,561462,fd669322,79
mn622396,516696,fd0,40
mn622396,516696,fd669322,40
mn622541,472702,fd0,70
mn622541,472702,fd669322,70
mn625687,146909,fd0,150
mn625687,146909,fd669322,150
mn625742,288192,fd0,100
mn625742,288192,fd669322,100
mn626185,245015,fd0,60
mn626185,245015,fd669322,60
mn626246,245015,fd0,60
mn626246,245015,fd669322,60
mn628262,291731,fd0,80
mn628262,291731,fd669322,80
mn629766,262885,fd0,99
mn629766,262885,fd669322,99
mn629810,262885,fd0,99
mn629810,262885,fd669322,99
mn631015,556361,fd0,49
mn631015,556361,fd669322,49
mn632807,434893,fd0,95
mn632807,434893,fd669322,95
mn632966,145972,fd0,50
mn632966,145972,fd669322,50
mn632998,145972,fd0,50
mn632998,145972,fd669322,50
mn634503,434720,fd0,69
mn634503,434720,fd669322,69
mn637340,568222,fd0,120
mn637340,568222,fd669322,120
mn641230,503876,fd0,249
mn641230,503876,fd669322,249
mn641829,303252,fd0,120
mn641829,303252,fd669322,120
mn641970,303252,fd0,120
mn641970,303252,fd669322,120
mn650723,258392,fd0,130
mn650723,258392,fd669322,130
mn660008,510226,fd0,135
mn660008,510226,fd669322,135
mn661895,485541,fd0,69
mn661895,485541,fd669322,69
mn666916,450871,fd0,55
mn666916,450871,fd669322,55
mn669322,540066,fd0,94
mn669322,540066,fd669322,94
mn670344,131027,fd0,72
mn670344,131027,fd669322,72
mn670375,131027,fd0,72
mn670375,131027,fd669322,72
mn686265,75651,fd0,60
mn686265,75651,fd669322,60
mn692523,475083,fd0,149
mn692523,475083,fd669322,149
mn692750,454838,fd0,149
mn692750,454838,fd669322,149
mn693485,454840,fd0,120
mn693485,454840,fd669322,120
mn696463,475080,fd0,149
mn696463,475080,fd669322,149
mn696662,486677,fd0,149
mn696662,486677,fd669322,149
mn697183,475084,fd0,149
mn697183,475084,fd669322,149
mn697276,475082,fd0,149
mn697276,475082,fd669322,149
mn698332,73973,fd0,130
mn698332,73973,fd669322,130
mn700998,111417,fd0,130
mn700998,111417,fd669322,130
mn702126,91842,fd0,130
mn702126,91842,fd669322,130
mn707361,111052,fd0,50
mn707361,111052,fd669322,50
mn708488,559102,fd0,60
mn708488,559102,fd669322,60
mn712282,488720,fd0,140
mn712282,488720,fd669322,140
mn713640,462742,fd0,90
mn713640,462742,fd669322,90
mn719891,419259,fd0,90
mn719891,419259,fd669322,90
mn720158,419193,fd0,90
mn720158,419193,fd669322,90
mn720175,419193,fd0,90
mn720175,419193,fd669322,90
mn723104,539218,fd0,70
mn723104,539218,fd669322,70
mn723768,209494,fd0,189
mn723768,209494,fd669322,189
mn723968,412586,fd0,120
mn723968,412586,fd669322,120
mn725809,334653,fd0,79
mn725809,334653,fd669322,79
mn726261,227151,fd0,89
mn726261,227151,fd669322,89
mn726775,484897,fd0,99
mn726775,484897,fd669322,99
mn726871,485903,fd0,80
mn726871,485903,fd669322,80
mn727545,518212,fd0,49
mn727545,518212,fd669322,49
mn727867,534623,fd0,70
mn727867,534623,fd669322,70
mn728848,515856,fd0,60
mn728848,515856,fd669322,60
mn729237,571151,fd0,49
mn729237,571151,fd669322,49
mn731049,512356,fd0,69
mn731049,512356,fd669322,69
mn731123,361170,fd0,60
mn731123,361170,fd669322,60
mn733420,558908,fd0,40
mn733420,558908,fd669322,40
mn733980,241389,fd0,70
mn733980,241389,fd669322,70
mn734083,493791,fd0,59
mn734083,493791,fd669322,59
mn735709,517986,fd0,69
mn735709,517986,fd669322,69
mn736214,513425,fd0,90
mn736214,513425,fd669322,90
mn736631,537538,fd0,60
mn736631,537538,fd669322,60
mn740557,472957,fd0,110
mn740557,472957,fd669322,110
mn741168,460016,fd0,90
mn741168,460016,fd669322,90
mn741845,572341,fd0,40
mn741845,572341,fd669322,40
mn742230,572295,fd0,40
mn742230,572295,fd669322,40
mn743753,399586,fd0,80
mn743753,399586,fd669322,80
mn743896,504761,fd0,50
mn743896,504761,fd669322,50
mn744214,406429,fd0,60
mn744214,406429,fd669322,60
mn744315,406284,fd0,60
mn744315,406284,fd669322,60
mn745688,457862,fd0,45
mn745688,457862,fd669322,45
mn746065,482338,fd0,45
mn746065,482338,fd669322,45
mn746191,476659,fd0,50
mn746191,476659,fd669322,50
mn746465,353453,fd0,59
mn746465,353453,fd669322,59
mn746765,86460,fd0,90
mn746765,86460,fd669322,90
mn746811,86460,fd0,90
mn746811,86460,fd669322,90
mn747347,406016,fd0,60
mn747347,406016,fd669322,60
mn748734,101473,fd0,65
mn748734,101473,fd669322,65
mn749617,399089,fd0,45
mn749617,399089,fd669322,45
mn750748,444875,fd0,60
mn750748,444875,fd669322,60
mn753697,319664,fd0,55
mn753697,319664,fd669322,55
mn753805,319664,fd0,55
mn753805,319664,fd669322,55
mn754395,177438,fd0,59
mn754395,177438,fd669322,59
mn754666,544344,fd0,49
mn754666,544344,fd669322,49
mn754710,544344,fd0,49
mn754710,544344,fd669322,49
mn756204,437454,fd0,45
mn756204,437454,fd669322,45
mn757253,234370,fd0,135
mn757253,234370,fd669322,135
mn757298,234370,fd0,135
mn757298,234370,fd669322,135
mn758421,358028,fd0,95
mn758421,358028,fd669322,95
mn758530,200123,fd0,69
mn758530,200123,fd669322,69
mn758559,200123,fd0,69
mn758559,200123,fd669322,69
mn759212,200149,fd0,79
mn759212,200149,fd669322,79
mn762337,440543,fd0,99
mn762337,440543,fd669322,99
mn778473,377757,fd0,49
mn778473,377757,fd669322,49
mn778515,377757,fd0,49
mn778515,377757,fd669322,49
mn780267,389444,fd0,60
mn780267,389444,fd669322,60
mn782933,432858,fd0,60
mn782933,432858,fd669322,60
mn784597,429152,fd0,50
mn784597,429152,fd669322,50
mn784690,429152,fd0,50
mn784690,429152,fd669322,50
mn785363,430153,fd0,50
mn785363,430153,fd669322,50
mn785384,430153,fd0,50
mn785384,430153,fd669322,50
mn785473,430163,fd0,60
mn785473,430163,fd669322,60
mn786412,516158,fd0,65
mn786412,516158,fd669322,65
mn786633,431920,fd0,99
mn786633,431920,fd669322,99
mn788868,428417,fd0,69
mn788868,428417,fd669322,69
mn798775,440396,fd0,69
mn798775,440396,fd669322,69
mn802201,1425,fd0,70
mn802201,1425,fd669322,70
mn815349,93624,fd0,98.99
mn815349,93624,fd669322,98.99
mn815541,153746,fd0,89
mn815541,153746,fd669322,89
mn819492,398025,fd0,80
mn819492,398025,fd669322,80
mn820067,442252,fd0,79
mn820067,442252,fd669322,79
mn821232,430457,fd0,80
mn821232,430457,fd669322,80
mn826498,317823,fd0,98.99
mn826498,317823,fd669322,98.99
mn827863,567677,fd0,80
mn827863,567677,fd669322,80
mn836204,552900,fd0,119
mn836204,552900,fd669322,119
mn837548,578044,fd0,67
mn837548,578044,fd669322,67
mn853262,508185,fd0,114
mn853262,508185,fd669322,114
mn860053,446397,fd0,99
mn860053,446397,fd669322,99
mn869341,472639,fd0,110
mn869341,472639,fd669322,110
mn915155,446420,fd0,110
mn915155,446420,fd669322,110
mn916758,377336,fd0,120
mn916758,377336,fd669322,120
mn951928,306133,fd0,75
mn951928,306133,fd669322,75
mn957277,404908,fd0,100
mn957277,404908,fd669322,100
mn975384,42740,fd0,120
mn975384,42740,fd669322,120
mn976770,578825,fd0,25
mn976770,578825,fd669322,25
